iter	RMSE
707	7081.893975
708	7064.135289
709	7053.202691
710	7045.325177
711	7029.062467
712	7020.575215
713	7014.551438
714	6999.885527
715	6990.315204
716	6989.193207
717	6978.970274
718	6974.019414
719	6959.694588
720	6952.135034
721	6937.703
722	6932.855111
723	6916.265676
724	6907.406161
725	6889.30677
726	6881.624233
727	6871.092481
728	6862.036297
729	6861.047663
730	6848.719031
731	6840.046959
732	6827.063793
733	6820.535741
734	6812.870687
735	6806.069553
736	6797.269363
737	6788.685928
738	6778.775209
739	6770.921168
740	6756.949496
741	6755.872679
742	6755.207692
743	6745.342597
744	6735.225005
745	6734.270092
746	6731.010943
747	6717.876448
748	6706.704059
749	6696.455421
750	6681.411927
751	6673.789966
752	6666.84779
753	6657.220163
754	6655.510757
755	6647.719181
756	6638.499382
757	6635.447162
758	6622.637841
759	6612.629186
760	6599.801873
761	6592.269091
762	6591.171796
763	6577.397007
764	6565.14143
765	6563.601403
766	6554.206404
767	6543.844387
768	6537.700877
769	6536.467659
770	6529.051726
771	6520.990782
772	6514.302812
773	6506.645505
774	6505.96626
775	6504.946922
776	6497.461089
777	6484.576194
778	6471.909242
779	6459.503798
780	6454.594098
781	6453.692172
782	6445.724156
783	6437.577152
784	6426.368255
785	6419.558719
786	6411.102608
787	6401.213972
788	6396.79557
789	6395.942183
790	6386.850374
791	6379.833297
792	6379.02102
793	6361.081781
794	6350.935057
795	6342.519016
796	6341.712981
797	6333.508126
798	6324.594674
799	6320.839741
800	6303.876923
801	6303.01807
802	6292.74348
803	6277.529118
804	6273.832397
805	6270.802134
806	6265.461496
807	6264.056307
808	6262.814266
809	6252.763341
810	6241.068369
811	6226.117263
812	6225.50742
813	6212.541074
814	6204.83284
815	6195.803879
816	6185.241922
817	6180.928562
818	6168.706896
819	6159.596213
820	6151.924343
821	6139.907609
822	6134.581342
823	6126.790302
824	6119.441905
825	6114.58537
826	6113.320382
827	6096.282342
828	6085.782384
829	6079.764523
830	6074.117313
831	6065.134434
832	6051.137333
833	6036.087219
834	6021.978362
835	6013.270463
836	6006.721173
837	5996.289524
838	5983.851335
839	5978.171029
840	5973.037608
841	5971.698744
842	5963.184523
843	5959.018539
844	5951.206808
845	5942.781458
846	5940.388402
847	5933.609398
848	5928.187273
849	5919.263367
850	5909.136576
851	5899.223142
852	5891.583248
853	5878.519155
